Cycle 1,Cycle 2
0.005,0.004625
0.00475,0.005
0.003875,0.00525
0.0055,0.00375
0.00475,0.006
0.0035,0.006625
0.003,0.00375
0.005375,0.004375
0.00425,0.006
0.003875,0.00475
0.004125,0.003625
0.005375,0.00475
0.00475,0.005375
0.006125,0.00525
0.0065,0.005125
0.00675,0.00525
0.006,0.00625
0.006125,0.007125
0.00675,0.007125
0.006625,0.008375
0.007125,0.006625
0.007125,0.006375
0.0085,0.008
0.007875,0.008625
0.011375,0.010625
0.01075,0.0105
0.010125,0.009125
0.009625,0.009125
0.013375,0.011
0.011375,0.011125
0.01125,0.012625
0.015125,0.011375
0.011125,0.012625
0.010375,0.012
0.01525,0.01325
0.014125,0.012125
0.0155,0.013
0.016875,0.0155
0.017,0.015
0.015375,0.0165
0.016125,0.014625
0.0115,0.016375
0.0135,0.017875
0.014375,0.015125
0.01475,0.01625
0.0155,0.0155
0.0155,0.016
0.014875,0.01675
0.014875,0.016625
0.017125,0.016625
0.018125,0.01225
0.015875,0.017875
0.016375,0.01575
0.0185,0.018875
0.01575,0.017875
0.01575,0.018375
0.015875,0.015875
0.017125,0.015875
0.016,0.015625
0.015125,0.01425
0.013875,0.0135
0.0145,0.015375
0.013,0.014875
0.015625,0.01425
0.01175,0.012125
0.010375,0.013875
0.013125,0.012375
0.0135,0.012125
0.013,0.011
0.0125,0.010375
0.01175,0.01075
0.01025,0.010625
0.008125,0.0105
0.0095,0.0095
0.01025,0.01025
0.010125,0.011
0.009375,0.010375
0.0085,0.009625
0.0085,0.007875
0.006875,0.01025
0.007625,0.008625
0.006625,0.009125
0.007125,0.007125
0.005375,0.006625
0.00675,0.00525
0.005375,0.00775
0.006375,0.00625
0.005875,0.005375
0.006625,0.0055
0.004625,0.004
0.006125,0.005
0.00675,0.0045
0.00675,0.004375
0.005375,0.005125
0.006,0.004125
0.0045,0.004875
0.005625,0.005375
0.00525,0.003125
0.005875,0.004
0.006,0.005375
