Cycle 1,Cycle 2
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.00025,0.0
0.0005,0.000125
0.000125,0.000125
0.0,0.00025
0.000125,0.00025
0.00025,0.000375
0.0,0.000125
0.00025,0.000625
0.00025,0.000125
0.000625,0.00075
0.000125,0.000625
0.0005,0.00075
0.00025,0.000375
0.00075,0.001
0.001375,0.00175
0.001,0.001375
0.001375,0.002
0.001375,0.001875
0.002125,0.003
0.002125,0.00375
0.00425,0.004375
0.005375,0.004125
0.006125,0.00725
0.00725,0.008125
0.009375,0.01075
0.012625,0.010375
0.013625,0.015375
0.0135,0.015375
0.016875,0.0175
0.01775,0.01925
0.020625,0.02325
0.02325,0.021375
0.021,0.021875
0.02375,0.021375
0.02325,0.023625
0.02325,0.024625
0.0255,0.02425
0.027125,0.026125
0.02925,0.028625
0.03375,0.031
0.0335,0.028875
0.03025,0.034375
0.029125,0.0325
0.03,0.02975
0.027,0.028375
0.032375,0.029625
0.02925,0.030375
0.029,0.03275
0.03,0.032125
0.029875,0.02975
0.031,0.029
0.023,0.02525
0.026375,0.024375
0.023125,0.021375
0.0215,0.02125
0.02325,0.02
0.021,0.023625
0.02275,0.02075
0.018625,0.01725
0.017375,0.019125
0.017375,0.014875
0.013,0.01075
0.012875,0.01025
0.0105,0.009625
0.006625,0.00725
0.0075,0.006125
0.005,0.0055
0.0065,0.004375
0.0035,0.00325
0.00325,0.003375
0.003,0.002625
0.002625,0.0015
0.001,0.002
0.002,0.001125
0.001625,0.00175
0.00125,0.00125
0.00025,0.001125
0.00025,0.0005
0.000125,0.001125
0.00025,0.001
0.00025,0.00025
0.00025,0.0005
0.0,0.000125
0.00025,0.00025
0.0005,0.000125
0.00025,0.000125
0.000375,0.000375
0.00025,0.000125
0.000125,0.000125
0.0,0.000125
0.0,0.000125
0.0,0.0
0.0,0.0
0.0,0.0
