q,mean_val,stderr_val
0.0525,-4.296401530969757e-6,3.599779707410073e-7
0.0641,-2.084555973725567e-5,6.53954023661606e-7
0.0783,-6.220979753673747e-5,1.1872271836156524e-6
0.0956,-0.0002072554149224796,2.1745990859360733e-6
0.1168,-0.0006380753585811271,4.050158222745813e-6
0.1228,-0.0008659865439035229,4.582731936269502e-6
0.1291,-0.0011601060365612366,5.410640370566229e-6
0.1357,-0.0015904205813083731,6.163546238852918e-6
0.1427,-0.002137482452311476,7.046763068980588e-6
0.15,-0.002874859306594716,8.220555007558364e-6
0.1577,-0.003880236407861811,8.988061496264628e-6
0.1658,-0.005000645389374472,9.809328684475484e-6
0.1743,-0.0065509544519024515,1.0246472234168138e-5
0.1832,-0.008321221103891307,1.0270086255594759e-5
0.1926,-0.010280813882497837,1.032528417292704e-5
0.2025,-0.012677452455636791,1.0020603645306208e-5
0.2129,-0.015404292758868572,9.881772444698326e-6
0.2339,-0.02179358918005733,9.970227153685472e-6
0.2857,-0.04323541363442793,9.853148559268403e-6
0.3489,-0.08290081770402719,9.713880234932481e-6
0.4262,-0.15721129613779544,9.83991120343254e-6
0.5205,-0.3001405728351045,9.770981462543284e-6
0.6358,-0.5901713010990676,9.692874873891443e-6
0.7765,-1.2592552498149008,9.94077040016782e-6
0.9485,-3.833695024777855,9.582624845494049e-6
1.1585,-1.174845914179213,9.837966636537618e-6
1.4149,1.2156385118477857,1.0167026762145586e-5
1.7282,2.855764729445934,9.877451623202788e-6
2.1108,4.261637921008323,9.840457025062112e-6
2.5782,5.566227089080202,9.93986731336872e-6
3.149,6.821344344272869,9.901732036436167e-6
3.8462,8.050988402797172,9.892534909442642e-6
4.6978,9.267110025547993,1.0049489231961706e-5
4.9386,9.569849463707591,1.0091056861684581e-5
5.1918,9.872220567829189,1.0298861439958409e-5
5.458,10.17422353135323,1.036719077558004e-5
5.7379,10.476007647148938,1.0394519754568493e-5
6.0321,10.777473020126859,9.751019173900942e-6
6.3413,11.078686195226558,9.092315749323421e-6
6.6665,11.379613662534357,8.195328991292004e-6
7.0082,11.680323753771459,7.185740912358168e-6
7.3676,11.980905206829178,6.133314446221588e-6
7.7453,12.281333148333971,5.32480498063645e-6
8.1424,12.581659155701024,4.631138835183236e-6
8.5599,12.881879885130303,4.017003138070489e-6
9.025,13.199518556232636,3.3995325540098124e-6
11.0232,14.399862237357134,1.871134033659069e-6
13.4637,15.599956007846242,1.022903831536211e-6
16.4446,16.79998455815972,5.585669587728996e-7
20.0855,17.99999636892564,3.0619200997180206e-7
