q,mean_val,stderr_val
0.3023,-0.02826912389486747,2.9051252827874535e-5
0.3287,-0.04907548782409208,3.873368728983205e-5
0.3575,-0.08738211301788373,5.30569149386055e-5
0.3651,-0.1007899719145835,5.843749893809664e-5
0.3666,-0.10406661644979344,5.592957526876899e-5
0.3681,-0.10683612377755608,5.619157141800077e-5
0.3697,-0.11052160054695391,5.7717606772431226e-5
0.3712,-0.11385352731093205,5.866364987763178e-5
0.3728,-0.11727091020829908,6.25733112094394e-5
0.3744,-0.12062749681418086,6.093542479373643e-5
0.3759,-0.12436372234349176,5.9990574498275056e-5
0.3775,-0.12814558676760415,6.173110816724348e-5
0.3791,-0.13217399848313433,6.204410165285911e-5
0.3807,-0.13607663164103853,6.650131251864968e-5
0.3823,-0.14020387060032188,6.328963573144409e-5
0.3839,-0.14451833184687585,6.374639967540448e-5
0.3855,-0.1486507824591262,6.475648943072735e-5
0.3871,-0.15298524348650547,6.502024356224066e-5
0.3888,-0.15758669464519298,6.811493402245873e-5
0.3904,-0.16214154709831832,6.52157338280776e-5
0.392,-0.1665405644071332,6.549612336927e-5
0.3937,-0.171438509589616,6.586535722092754e-5
0.3954,-0.17634721852528257,6.572476445910558e-5
0.3971,-0.1811836064411341,6.861331187778158e-5
0.4055,-0.20678088212999593,6.841975814664588e-5
0.4141,-0.23404221002379433,6.719735986227796e-5
0.4229,-0.2635039240302855,6.635795952493085e-5
0.4318,-0.2955623255599298,6.67362011340706e-5
0.441,-0.3302133342583927,6.655554255616672e-5
0.4503,-0.3679343520733991,6.576043876107156e-5
0.4599,-0.4090992008617949,6.565418576877431e-5
0.4841,-0.5274295400227393,6.506474043742252e-5
0.5264,-0.7970935285784136,6.414675709014691e-5
0.5725,-1.2382828833416653,6.48953544283962e-5
0.6227,-2.1688603958200683,6.448671587189222e-5
1.0302,-3.1936494925328303,6.478405698683328e-5
1.1204,0.12388910567831116,6.402048574180027e-5
1.2185,1.8624501580838606,6.507097320119784e-5
1.3252,3.2034046721768514,6.489589903355808e-5
1.4412,4.3623390425424065,6.576129075972308e-5
1.4718,4.6343376897556965,6.580715159779626e-5
1.503,4.900589061247722,6.702562148674919e-5
1.5348,5.162314614076853,6.663496546850965e-5
1.5674,5.419572306732167,6.816644886309742e-5
1.6006,5.673267340659896,6.809546992319609e-5
1.6345,5.923613786518946,6.883188396718404e-5
1.6414,5.97326949126815,6.621704353017867e-5
1.6483,6.023044172226916,6.585836963608234e-5
1.6553,6.072286704304494,6.594055882603416e-5
1.6622,6.121723988748145,6.602375185120078e-5
1.6692,6.170613057543832,6.924203982962687e-5
1.6762,6.220247072399085,6.6659437161923e-5
1.6833,6.268942631266474,6.491709287062771e-5
1.6904,6.317913309296573,6.521834837117922e-5
1.6975,6.366710252006045,6.542138016682582e-5
1.7046,6.414851303242213,6.890785262298928e-5
1.7118,6.463633621078137,6.504671132839671e-5
1.719,6.512046612633433,6.324261598803562e-5
1.7262,6.5600151788890315,6.282685925923044e-5
1.7335,6.6080965293944205,6.254277198718168e-5
1.7407,6.655607502171917,6.411409467808547e-5
1.7481,6.703402166832788,5.898106795889051e-5
1.7554,6.7509487068563585,5.872296869114589e-5
1.7628,6.798249863407861,5.7824063819643716e-5
1.7702,6.845569105091671,5.655898293876395e-5
1.7776,6.8923652176697505,5.934451631054984e-5
1.8153,7.125986650425712,5.4171419378976554e-5
1.8538,7.356652879342943,5.001650164367896e-5
1.957,7.940809828375524,4.044346062364797e-5
2.1283,8.825813665757611,2.983723293217077e-5
2.3146,9.694825329479341,2.2223672142679412e-5
