Cycle 1,Cycle 2,Cycle 3
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
6.25e-6,6.25e-6,0.0
6.25e-6,3.125e-6,6.25e-6
3.125e-6,6.25e-6,1.875e-5
3.4375e-5,1.875e-5,2.5e-5
4.0625e-5,6.875e-5,8.4375e-5
0.00019375,0.000165625,0.000175
0.000365625,0.000384375,0.000346875
0.000828125,0.000925,0.000821875
0.0015625,0.001740625,0.001690625
0.00298125,0.002865625,0.00294375
0.0047875,0.0049,0.005103125
0.007209375,0.0076125,0.00749375
0.00978125,0.009546875,0.009440625
0.01140625,0.011,0.011265625
0.01181875,0.011765625,0.011621875
0.01181875,0.012159375,0.0122875
0.012971875,0.012946875,0.013275
0.014921875,0.01495,0.014878125
0.016096875,0.016,0.015740625
0.016196875,0.016415625,0.0167
0.01696875,0.017109375,0.017178125
0.01846875,0.018465625,0.017978125
0.019340625,0.01920625,0.019496875
0.01945,0.019496875,0.019565625
0.020790625,0.0203,0.020328125
0.021746875,0.021278125,0.021175
0.020940625,0.02129375,0.0219
0.0225,0.022803125,0.02225625
0.02264375,0.022721875,0.022625
0.02311875,0.023065625,0.022903125
0.023803125,0.023903125,0.024003125
0.023959375,0.0238875,0.024065625
0.024246875,0.023975,0.02425625
0.024621875,0.0247125,0.024609375
0.0245,0.02426875,0.02480625
0.0254625,0.025071875,0.02475
0.024415625,0.0247,0.024603125
0.0244875,0.024965625,0.024840625
0.025328125,0.0247625,0.02509375
0.024359375,0.024696875,0.02464375
0.0247,0.024759375,0.024759375
0.02444375,0.0238875,0.024321875
0.023721875,0.02396875,0.023571875
0.024096875,0.02404375,0.02375625
0.0227,0.022790625,0.02298125
0.022859375,0.02276875,0.022915625
0.02233125,0.0224375,0.02235
0.021290625,0.021246875,0.021415625
0.021484375,0.021284375,0.021465625
0.0207,0.021040625,0.020028125
0.0191125,0.019215625,0.01961875
0.019128125,0.019259375,0.01935
0.01838125,0.018596875,0.018403125
0.017221875,0.01696875,0.017046875
0.016353125,0.016675,0.016603125
0.015775,0.015728125,0.015990625
0.014990625,0.01498125,0.01449375
0.0130375,0.012990625,0.012765625
0.01215625,0.01196875,0.01215625
0.011725,0.01163125,0.011709375
0.010940625,0.011009375,0.0110875
0.009790625,0.009634375,0.009853125
0.007478125,0.0075875,0.007390625
0.00510625,0.005015625,0.0047125
0.00308125,0.00305625,0.002975
0.001646875,0.001684375,0.00176875
0.000865625,0.000896875,0.000834375
0.000421875,0.000403125,0.0003625
0.00015625,0.000171875,0.00018125
6.25e-5,8.75e-5,8.125e-5
3.75e-5,2.5e-5,3.75e-5
9.375e-6,1.25e-5,1.5625e-5
3.125e-6,3.125e-6,0.0
3.125e-6,0.0,0.0
3.125e-6,3.125e-6,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
