Cycle 1,Cycle 2
0.0013125,0.009625
0.0013375,0.00905
0.00145,0.0095375
0.0016,0.0095125
0.001725,0.009125
0.0016625,0.00955
0.0019625,0.009
0.001725,0.0097
0.0018,0.009125
0.002,0.00915
0.0020125,0.009625
0.0023375,0.009025
0.0025875,0.009475
0.002625,0.0095625
0.0031375,0.00985
0.0038875,0.009725
0.003975,0.0096625
0.0045,0.0101125
0.00515,0.009625
0.0058,0.009225
0.0066125,0.009075
0.0069875,0.00945
0.0081875,0.00975
0.00845,0.0099875
0.009575,0.0102
0.0110375,0.0101375
0.01185,0.0100375
0.0111375,0.010175
0.011675,0.010125
0.0134125,0.01045
0.01375,0.0104625
0.0149125,0.009675
0.0155125,0.0102375
0.014575,0.0103375
0.0156125,0.0097125
0.0147375,0.0109625
0.01505,0.0110125
0.016575,0.0103875
0.0169125,0.0106875
0.0173625,0.0105625
0.0172375,0.010425
0.0181625,0.0106125
0.0186875,0.010925
0.0200125,0.0104
0.0192375,0.01085
0.0204375,0.010775
0.0188875,0.0109125
0.0196125,0.0104875
0.01885,0.01075
0.0194,0.010525
0.0195,0.010525
0.0189625,0.011725
0.019075,0.0106375
0.01945,0.0105375
0.0199,0.0101125
0.019825,0.011175
0.0192,0.011125
0.0199375,0.0103375
0.01785,0.0106375
0.0180375,0.009775
0.017225,0.010275
0.016925,0.0112
0.016225,0.011025
0.01575,0.010525
0.0154625,0.009975
0.0146375,0.0098625
0.01435,0.0104125
0.0135125,0.0106875
0.0132375,0.0101625
0.0126625,0.010525
0.01315,0.01025
0.0121625,0.010725
0.012125,0.009875
0.010825,0.0102125
0.010575,0.010825
0.0096,0.0095375
0.008825,0.00995
0.008225,0.01
0.00795,0.0098375
0.0065,0.0098125
0.0059,0.00975
0.0056875,0.01015
0.005,0.0095875
0.00475,0.0095875
0.004275,0.0093875
0.003825,0.00965
0.003475,0.008925
0.0038,0.009425
0.0032,0.008625
0.00265,0.008825
0.00255,0.0092
0.002425,0.0091375
0.0023,0.0089625
0.0023375,0.0091875
0.0017375,0.009525
0.001675,0.0097
0.0013375,0.0093375
0.001525,0.0094375
0.001525,0.0096
0.001325,0.0103875
