q,mean_val,stderr_val
0.045,-5.031990630254557e-5,3.9234770317892435e-7
0.0509,-0.0001081058125240883,5.782317355315184e-7
0.0577,-0.0002372715674303406,8.568816177719005e-7
0.0653,-0.0004966470862297589,1.2472031406508032e-6
0.0674,-0.0006063468639871033,1.3523825800628044e-6
0.0695,-0.000729841577327039,1.5363470734037736e-6
0.0717,-0.0008810866475300973,1.6586507439615036e-6
0.074,-0.001069363274086771,1.8062992873948809e-6
0.0763,-0.0012925838511447243,1.949673364419443e-6
0.0788,-0.0015559123482605953,2.077635620236482e-6
0.0812,-0.0018501370791737899,2.1402543776740494e-6
0.0838,-0.002192638623825193,2.196151099293093e-6
0.0865,-0.0025679158038283047,2.253024781076107e-6
0.0892,-0.002993039121615635,2.241210337340064e-6
0.092,-0.0034546931040816704,2.2165214260240857e-6
0.0949,-0.003961770660527226,2.2526375856892283e-6
0.1154,-0.008526115033498824,2.1515350997553184e-6
0.1481,-0.02021754938825432,2.120138733400383e-6
0.19,-0.04602701914177539,2.1326899676693577e-6
0.2437,-0.10442155158688789,2.132737845243645e-6
0.3126,-0.2428982118403118,2.1322865367559585e-6
0.401,-0.6110716449535347,2.1099988185462743e-6
1.0857,-0.8985390492466461,2.12928003124338e-6
1.3928,5.721897928589727,2.125380581791698e-6
1.7866,9.993915359250899,2.1078198390664993e-6
2.2918,13.793184623375382,2.122027594162767e-6
2.9399,17.42393729109487,2.124369455257687e-6
3.7712,20.982573403187658,2.142356413076991e-6
4.8376,24.507119267747715,2.1823687799330254e-6
4.9906,24.946250563513487,2.149701594678696e-6
5.1483,25.385152567758812,2.179005566493383e-6
5.2447,25.646609961164806,2.1896144904631233e-6
5.3111,25.823835631757156,2.2244590896607985e-6
5.4106,26.085177118936098,2.2492053491032883e-6
5.4791,26.262302807695203,2.1959286077219466e-6
5.5816,26.52352932500576,2.2190421976248837e-6
5.6523,26.7005933591966,2.2106256296571923e-6
5.7581,26.961716831262578,2.2151878490325636e-6
5.831,27.138696604365197,2.1811423904685655e-6
5.9402,27.3997239217531,2.19661180642346e-6
6.0154,27.576649429736182,2.1818157199091725e-6
6.128,27.837576807076157,2.1511442554983228e-6
6.2056,28.014441654493286,2.128407062995334e-6
6.3218,28.275282138142874,2.096010782807203e-6
6.4018,28.452087417977246,2.042486073714457e-6
6.5216,28.712857250551235,2.02305440012476e-6
6.6042,28.889606948158256,2.0476777805140988e-6
6.7278,29.150282589644902,1.9384296269834595e-6
6.813,29.326993854401685,1.932518956977265e-6
6.9406,29.5875913604661,1.8086107846281114e-6
7.0284,29.76424601875058,1.7762613884716813e-6
7.16,30.02478886230716,1.673110866774902e-6
7.3864,30.461881147860513,1.573713087586336e-6
8.3039,32.105202356407304,1.1035926363489355e-6
9.405,33.85161511417473,7.6468919473237e-7
10.6521,35.597240048689514,5.273437647367064e-7
12.0645,37.34228530817037,3.5876578965438097e-7
